year,county,studio,1-bedroom,2-bedroom,3-bedroom,4-bedroom
2022,0,545,549,704,1000,1036
2022,1,555,558,704,989,1036
2022,2,493,618,704,870,1036
2022,3,562,581,704,887,1036
2022,4,613,642,731,908,1108
2022,5,602,606,762,942,1056
2022,6,1111,1131,1289,1596,1951
2022,7,1111,1131,1289,1596,1951
2022,8,590,618,704,938,1062
2022,9,532,535,704,1000,1051
2022,10,600,739,846,1071,1147
2022,11,532,535,704,962,1042
2022,12,728,732,894,1230,1426
2022,13,639,643,833,1159,1376
2022,14,880,937,1067,1466,1713
2022,15,629,632,772,1097,1283
2022,16,685,789,906,1228,1532
2022,17,709,714,939,1233,1405
2022,18,545,549,704,880,1095
2022,19,685,689,875,1201,1427
2022,20,545,549,704,988,1025
2022,21,1111,1131,1289,1596,1951
2022,22,721,742,883,1148,1380
2022,23,590,618,704,968,1049
2022,24,880,937,1067,1466,1713
2022,25,654,724,827,1122,1415
2022,26,472,535,704,989,1199
2022,27,1111,1131,1289,1596,1951
2022,28,737,782,899,1204,1409
2022,29,545,549,704,1000,1036
2022,30,1111,1131,1289,1596,1951
2022,31,545,549,704,1000,1036
2022,32,1111,1131,1289,1596,1951
2022,33,590,595,704,870,955
2022,34,544,548,704,870,1006
2022,35,685,789,906,1228,1532
2022,36,532,535,704,894,1066
2022,37,1111,1131,1289,1596,1951
2022,38,600,739,846,1071,1147
2022,39,590,613,704,870,955
2022,40,721,742,883,1148,1380
2022,41,1111,1131,1289,1596,1951
2022,42,556,560,704,904,955
2022,43,1111,1131,1289,1596,1951
2022,44,532,535,704,870,1031
2022,45,590,618,704,870,955
2022,46,666,690,810,1050,1273
2022,47,1111,1131,1289,1596,1951
2022,48,547,549,704,882,969
2022,49,639,643,833,1159,1376
2022,50,880,937,1067,1466,1713
2022,51,535,538,708,875,988
2022,52,468,535,704,950,1205
2022,53,555,558,704,875,1135
2022,54,637,643,739,1050,1265
2022,55,1111,1131,1289,1596,1951
2022,56,654,658,864,1154,1334
2022,57,1111,1131,1289,1596,1951
2022,58,532,535,704,974,1052
2022,59,1111,1131,1289,1596,1951
2022,60,595,599,788,998,1349
2022,61,590,618,704,1000,1017
2022,62,728,732,894,1230,1426
2022,63,575,586,704,996,1102
2022,64,546,549,723,977,980
2022,65,575,578,742,922,1041
2022,66,1111,1131,1289,1596,1951
2022,67,492,599,741,1001,1005
2022,68,840,902,1028,1339,1516
2022,69,590,618,704,939,1205
2022,70,649,653,801,1138,1371
2022,71,654,724,827,1122,1415
2022,72,582,586,771,953,1153
2022,73,1111,1131,1289,1596,1951
2022,74,1111,1131,1289,1596,1951
2022,75,778,855,974,1297,1587
2022,76,545,549,704,870,1036
2022,77,619,623,820,1135,1154
2022,78,1111,1131,1289,1596,1951
2022,79,545,549,704,870,982
2022,80,532,535,704,885,1205
2022,81,545,549,704,968,1036
2022,82,590,618,704,920,1036
2022,83,600,739,846,1071,1147
2022,84,602,606,798,1023,1210
2022,85,639,643,833,1159,1376
2022,86,551,554,704,968,1106
2022,87,666,690,810,1050,1273
2022,88,876,892,1016,1443,1739
2022,89,534,616,704,974,978
2022,90,618,622,750,1065,1276
2022,91,639,643,833,1159,1376
2022,92,678,682,898,1167,1537
2022,93,556,559,704,875,1205
2022,94,737,782,899,1204,1409
2022,95,654,724,827,1122,1415
2022,96,685,789,906,1228,1532
2022,97,728,732,894,1230,1426
2022,98,642,646,850,1069,1153
2022,99,607,618,704,870,1036
2022,100,590,618,704,870,955
2022,101,556,671,764,944,1308
2022,102,590,618,704,1000,1205
2022,103,701,706,929,1182,1590
2022,104,539,587,773,1012,1182
2022,105,654,724,827,1122,1415
2022,106,1111,1131,1289,1596,1951
2022,107,737,782,899,1204,1409
2022,108,737,782,899,1204,1409
2022,109,1111,1131,1289,1596,1951
2022,110,511,584,769,1044,1130
2022,111,1111,1131,1289,1596,1951
2022,112,555,559,717,886,1101
2022,113,1111,1131,1289,1596,1951
2022,114,554,558,734,945,995
2022,115,590,613,704,1000,1036
2022,116,641,645,828,1024,1389
2022,117,545,549,704,900,1036
2022,118,562,565,744,920,1204
2022,119,542,545,704,895,1036
2022,120,685,789,906,1228,1532
2022,121,1111,1131,1289,1596,1951
2022,122,532,535,704,980,1036
2022,123,532,535,704,989,1036
2022,124,562,600,770,958,1150
2022,125,1111,1131,1289,1596,1951
2022,126,535,539,709,1004,1186
2022,127,532,535,704,870,1205
2022,128,565,568,748,925,1182
2022,129,558,617,704,947,1205
2022,130,545,549,704,870,1205
2022,131,590,618,704,1000,1205
2022,132,468,549,704,908,1074
2022,133,468,549,704,870,955
2022,134,666,690,810,1050,1273
2022,135,633,638,839,1066,1283
2022,136,546,550,704,883,1018
2022,137,532,535,704,975,1181
2022,138,612,616,741,1034,1268
2022,139,545,549,704,994,997
2022,140,628,632,832,1116,1169
2022,141,545,549,704,870,1126
2022,142,600,739,846,1071,1147
2022,143,545,549,704,1000,1205
2022,144,468,581,704,923,1078
2022,145,721,742,883,1148,1380
2022,146,1111,1131,1289,1596,1951
2022,147,548,552,726,897,1118
2022,148,532,535,704,954,1205
2022,149,590,618,704,980,1029
2022,150,532,535,704,896,1034
2022,151,545,549,704,899,1036
2022,152,545,549,704,870,955
2022,153,656,661,783,996,1062
2022,154,558,617,806,1087,1093
2022,155,545,549,704,1000,1036
2022,156,547,551,725,957,1067
2022,157,585,588,704,870,955
2022,158,666,690,810,1050,1273
