year,county,studio,1-bedroom,2-bedroom,3-bedroom,4-bedroom
2023,0,602,606,772,1097,1123
2023,1,609,612,772,1060,1123
2023,2,516,684,772,969,1123
2023,3,602,606,772,1034,1123
2023,4,658,719,812,997,1315
2023,5,681,700,811,987,1240
2023,6,1345,1375,1553,1890,2308
2023,7,1345,1375,1553,1890,2308
2023,8,648,684,772,1027,1315
2023,9,583,586,772,1097,1169
2023,10,719,838,969,1207,1302
2023,11,583,586,772,1082,1172
2023,12,810,815,998,1348,1633
2023,13,680,685,895,1219,1411
2023,14,1031,1112,1256,1715,2008
2023,15,706,711,887,1206,1313
2023,16,750,890,1017,1369,1675
2023,17,831,836,1094,1433,1620
2023,18,644,648,772,982,1231
2023,19,781,786,972,1380,1603
2023,20,602,606,772,1095,1114
2023,21,1345,1375,1553,1890,2308
2023,22,910,919,1067,1372,1619
2023,23,648,684,772,1097,1140
2023,24,1031,1112,1256,1715,2008
2023,25,759,819,945,1276,1610
2023,26,529,586,772,1061,1240
2023,27,1345,1375,1553,1890,2308
2023,28,825,877,995,1335,1517
2023,29,602,606,772,1097,1123
2023,30,1345,1375,1553,1890,2308
2023,31,602,606,772,1097,1123
2023,32,1345,1375,1553,1890,2308
2023,33,606,610,772,940,1037
2023,34,585,589,772,963,1135
2023,35,750,890,1017,1369,1675
2023,36,602,606,772,1006,1169
2023,37,1345,1375,1553,1890,2308
2023,38,719,838,969,1207,1302
2023,39,663,673,789,960,1060
2023,40,910,919,1067,1372,1619
2023,41,1345,1375,1553,1890,2308
2023,42,620,624,772,984,1037
2023,43,1345,1375,1553,1890,2308
2023,44,583,586,772,940,1048
2023,45,648,649,772,940,1037
2023,46,735,748,880,1153,1402
2023,47,1345,1375,1553,1890,2308
2023,48,602,606,772,1000,1110
2023,49,680,685,895,1219,1411
2023,50,1031,1112,1256,1715,2008
2023,51,594,598,787,973,1057
2023,52,516,613,772,980,1315
2023,53,631,635,772,953,1037
2023,54,662,666,788,1120,1146
2023,55,1345,1375,1553,1890,2308
2023,56,726,731,962,1254,1500
2023,57,1345,1375,1553,1890,2308
2023,58,583,586,772,1030,1123
2023,59,1345,1375,1553,1890,2308
2023,60,575,653,860,1130,1465
2023,61,648,684,772,1044,1048
2023,62,810,815,998,1348,1633
2023,63,582,655,790,1107,1216
2023,64,606,610,803,1082,1105
2023,65,639,643,819,1027,1144
2023,66,1345,1375,1553,1890,2308
2023,67,516,652,772,1049,1053
2023,68,967,1062,1200,1521,1728
2023,69,648,684,772,1048,1315
2023,70,750,755,913,1298,1555
2023,71,759,819,945,1276,1610
2023,72,661,665,876,1066,1264
2023,73,1345,1375,1553,1890,2308
2023,74,1345,1375,1553,1890,2308
2023,75,848,934,1055,1432,1692
2023,76,602,606,772,940,1123
2023,77,686,691,909,1238,1351
2023,78,1345,1375,1553,1890,2308
2023,79,602,606,772,940,1113
2023,80,583,586,772,940,1315
2023,81,602,606,772,1097,1123
2023,82,648,684,772,1062,1123
2023,83,719,838,969,1207,1302
2023,84,717,722,950,1256,1276
2023,85,680,685,895,1219,1411
2023,86,603,607,772,1064,1315
2023,87,735,748,880,1153,1402
2023,88,928,949,1072,1524,1826
2023,89,584,693,790,1057,1061
2023,90,705,721,814,1150,1387
2023,91,680,685,895,1219,1411
2023,92,768,773,985,1236,1678
2023,93,587,591,772,949,1315
2023,94,825,877,995,1335,1517
2023,95,759,819,945,1276,1610
2023,96,750,890,1017,1369,1675
2023,97,810,815,998,1348,1633
2023,98,702,707,930,1206,1281
2023,99,648,684,772,1011,1141
2023,100,648,684,772,940,1037
2023,101,649,761,859,1045,1463
2023,102,619,623,772,1097,1290
2023,103,814,819,1078,1328,1836
2023,104,561,614,808,1088,1344
2023,105,759,819,945,1276,1610
2023,106,1345,1375,1553,1890,2308
2023,107,825,877,995,1335,1517
2023,108,825,877,995,1335,1517
2023,109,1345,1375,1553,1890,2308
2023,110,590,670,882,1121,1234
2023,111,1345,1375,1553,1890,2308
2023,112,639,643,819,997,1119
2023,113,1345,1375,1553,1890,2308
2023,114,623,628,826,1052,1110
2023,115,623,627,772,1078,1123
2023,116,715,719,916,1115,1560
2023,117,602,606,772,940,1123
2023,118,641,646,850,1060,1376
2023,119,602,606,772,982,1037
2023,120,750,890,1017,1369,1675
2023,121,1345,1375,1553,1890,2308
2023,122,602,606,772,1087,1123
2023,123,583,586,772,1091,1123
2023,124,643,646,823,1066,1329
2023,125,1345,1375,1553,1890,2308
2023,126,620,624,822,1071,1315
2023,127,583,586,772,940,1109
2023,128,615,619,815,992,1188
2023,129,621,669,772,1015,1315
2023,130,602,606,772,940,1123
2023,131,648,676,772,1097,1315
2023,132,516,606,772,964,1127
2023,133,516,606,772,940,1037
2023,134,735,748,880,1153,1402
2023,135,765,769,943,1215,1373
2023,136,648,655,772,1016,1194
2023,137,583,586,772,1084,1266
2023,138,673,687,801,1138,1364
2023,139,583,586,772,1059,1065
2023,140,703,708,932,1216,1323
2023,141,602,606,772,940,1037
2023,142,719,838,969,1207,1302
2023,143,602,606,772,1097,1315
2023,144,516,674,772,1054,1093
2023,145,910,919,1067,1372,1619
2023,146,1345,1375,1553,1890,2308
2023,147,615,619,815,992,1239
2023,148,583,586,772,1005,1315
2023,149,648,684,772,1046,1204
2023,150,583,586,772,970,1241
2023,151,602,606,772,988,1123
2023,152,583,685,872,1061,1171
2023,153,737,777,878,1093,1222
2023,154,590,655,862,1138,1159
2023,155,602,606,772,1097,1123
2023,156,601,605,797,1045,1071
2023,157,648,864,772,943,1037
2023,158,735,748,880,1153,1402
