year,county,studio,1-bedroom,2-bedroom,3-bedroom,4-bedroom
2019,0,523,526,660,931,1159
2019,1,496,499,660,929,1035
2019,2,549,552,660,845,1159
2019,3,554,567,682,898,973
2019,4,621,623,730,928,987
2019,5,576,590,676,907,1009
2019,6,942,966,1106,1427,1752
2019,7,942,966,1106,1427,1752
2019,8,496,499,660,915,1035
2019,9,496,499,660,923,1159
2019,10,520,687,787,1041,1232
2019,11,523,526,660,860,1035
2019,12,633,637,793,1114,1142
2019,13,533,536,697,986,1224
2019,14,827,870,996,1364,1554
2019,15,530,582,712,1029,1251
2019,16,691,697,836,1142,1468
2019,17,677,681,901,1154,1533
2019,18,496,499,660,879,1035
2019,19,709,713,865,1172,1480
2019,20,496,499,660,954,1045
2019,21,942,966,1106,1427,1752
2019,22,585,694,847,1099,1344
2019,23,523,526,660,889,1035
2019,24,827,870,996,1364,1554
2019,25,643,714,862,1175,1514
2019,26,496,499,660,895,1144
2019,27,942,966,1106,1427,1752
2019,28,622,667,785,1063,1303
2019,29,496,499,660,954,1035
2019,30,942,966,1106,1427,1752
2019,31,523,526,660,954,1035
2019,32,942,966,1106,1427,1752
2019,33,562,562,660,827,943
2019,34,526,529,660,827,955
2019,35,691,697,836,1142,1468
2019,36,523,526,660,898,1033
2019,37,942,966,1106,1427,1752
2019,38,520,687,787,1041,1232
2019,39,523,526,660,948,1040
2019,40,585,694,847,1099,1344
2019,41,942,966,1106,1427,1752
2019,42,506,510,674,908,911
2019,43,942,966,1106,1427,1752
2019,44,499,503,665,833,911
2019,45,548,576,660,827,951
2019,46,554,567,682,898,973
2019,47,942,966,1106,1427,1752
2019,48,480,576,660,934,1035
2019,49,533,536,697,986,1224
2019,50,827,870,996,1364,1554
2019,51,530,534,660,877,1040
2019,52,528,531,660,860,1011
2019,53,523,526,660,833,1028
2019,54,613,629,720,969,1090
2019,55,942,966,1106,1427,1752
2019,56,572,607,738,985,1210
2019,57,942,966,1106,1427,1752
2019,58,424,576,660,917,1033
2019,59,942,966,1106,1427,1752
2019,60,590,593,750,940,1258
2019,61,521,524,660,897,947
2019,62,633,637,793,1114,1142
2019,63,447,536,661,956,1161
2019,64,569,583,668,910,1016
2019,65,576,590,676,910,988
2019,66,942,966,1106,1427,1752
2019,67,532,535,688,927,930
2019,68,707,779,892,1191,1272
2019,69,496,499,660,954,978
2019,70,686,690,825,1034,1247
2019,71,643,714,862,1175,1514
2019,72,496,499,660,827,892
2019,73,942,966,1106,1427,1752
2019,74,942,966,1106,1427,1752
2019,75,664,780,894,1151,1461
2019,76,523,526,660,827,1035
2019,77,579,582,760,984,1264
2019,78,942,966,1106,1427,1752
2019,79,523,526,660,827,999
2019,80,496,499,660,848,1053
2019,81,523,526,660,843,1035
2019,82,562,576,660,889,892
2019,83,520,687,787,1041,1232
2019,84,597,601,732,1058,1161
2019,85,533,536,697,986,1224
2019,86,536,539,660,873,1095
2019,87,554,567,682,898,973
2019,88,689,775,887,1254,1558
2019,89,547,576,660,925,1045
2019,90,537,600,687,993,1057
2019,91,533,536,697,986,1224
2019,92,628,632,836,1159,1468
2019,93,496,499,660,827,892
2019,94,622,667,785,1063,1303
2019,95,643,714,862,1175,1514
2019,96,691,697,836,1142,1468
2019,97,633,637,793,1114,1142
2019,98,568,572,756,1093,1220
2019,99,562,576,660,827,1035
2019,100,546,550,660,851,892
2019,101,505,628,719,937,1219
2019,102,562,576,660,943,1035
2019,103,739,758,868,1223,1335
2019,104,529,532,690,913,1010
2019,105,643,714,862,1175,1514
2019,106,942,966,1106,1427,1752
2019,107,622,667,785,1063,1303
2019,108,622,667,785,1063,1303
2019,109,942,966,1106,1427,1752
2019,110,560,587,742,968,1003
2019,111,942,966,1106,1427,1752
2019,112,562,576,660,946,1035
2019,113,942,966,1106,1427,1752
2019,114,556,560,741,986,1063
2019,115,498,576,660,936,1059
2019,116,659,676,774,970,1091
2019,117,523,526,660,954,1035
2019,118,541,544,720,955,1085
2019,119,539,543,718,900,1126
2019,120,691,697,836,1142,1468
2019,121,942,966,1106,1427,1752
2019,122,496,499,660,954,1035
2019,123,496,499,660,881,1035
2019,124,496,499,660,898,1122
2019,125,942,966,1106,1427,1752
2019,126,496,499,660,954,1159
2019,127,496,499,660,855,1035
2019,128,537,541,715,896,1172
2019,129,525,528,662,872,1043
2019,130,592,596,747,936,1091
2019,131,562,576,660,952,1159
2019,132,503,576,660,884,1046
2019,133,496,499,660,827,1035
2019,134,554,567,682,898,973
2019,135,593,611,762,993,1109
2019,136,518,521,660,827,947
2019,137,476,559,660,883,1159
2019,138,590,594,723,981,1270
2019,139,496,499,660,954,1035
2019,140,620,624,796,1127,1154
2019,141,523,526,660,827,1159
2019,142,520,687,787,1041,1232
2019,143,533,537,673,843,1121
2019,144,450,579,700,914,1048
2019,145,585,694,847,1099,1344
2019,146,942,966,1106,1427,1752
2019,147,424,505,660,954,1012
2019,148,496,499,660,926,1159
2019,149,562,576,660,925,929
2019,150,496,499,660,915,1035
2019,151,527,530,665,833,1042
2019,152,523,526,660,954,1035
2019,153,578,581,729,982,985
2019,154,556,635,730,1007,1091
2019,155,562,576,660,827,1035
2019,156,514,517,684,857,1072
2019,157,523,526,660,858,1098
2019,158,554,567,682,898,973
