year,county,studio,1-bedroom,2-bedroom,3-bedroom,4-bedroom
2018,0,517,520,659,891,1135
2018,1,492,495,659,940,1047
2018,2,517,520,659,826,1088
2018,3,562,588,716,950,1014
2018,4,594,597,708,911,1031
2018,5,561,564,680,917,1046
2018,6,873,898,1031,1344,1651
2018,7,873,898,1031,1344,1651
2018,8,492,495,659,906,1047
2018,9,492,495,659,859,1161
2018,10,528,677,778,1040,1250
2018,11,517,520,659,912,1047
2018,12,580,583,752,1050,1091
2018,13,554,558,709,994,1249
2018,14,853,926,1063,1453,1697
2018,15,564,568,718,1044,1265
2018,16,617,636,771,1053,1358
2018,17,657,662,880,1108,1452
2018,18,492,495,659,901,1047
2018,19,702,715,860,1173,1514
2018,20,492,495,659,959,1161
2018,21,873,898,1031,1344,1651
2018,22,542,656,806,1053,1302
2018,23,517,520,659,920,1047
2018,24,853,926,1063,1453,1697
2018,25,621,685,823,1142,1450
2018,26,492,495,659,901,1161
2018,27,873,898,1031,1344,1651
2018,28,613,666,783,1054,1353
2018,29,492,495,659,870,1047
2018,30,873,898,1031,1344,1651
2018,31,492,495,659,936,1047
2018,32,873,898,1031,1344,1651
2018,33,492,495,659,835,1047
2018,34,518,522,659,845,1027
2018,35,617,636,771,1053,1358
2018,36,517,520,659,905,1003
2018,37,873,898,1031,1344,1651
2018,38,528,677,778,1040,1250
2018,39,558,568,659,925,1073
2018,40,542,656,806,1053,1302
2018,41,873,898,1031,1344,1651
2018,42,515,518,685,923,933
2018,43,873,898,1031,1344,1651
2018,44,498,501,667,836,918
2018,45,545,574,659,826,1047
2018,46,562,588,716,950,1014
2018,47,873,898,1031,1344,1651
2018,48,498,574,659,959,1047
2018,49,554,558,709,994,1249
2018,50,853,926,1063,1453,1697
2018,51,492,495,659,840,984
2018,52,492,495,659,833,929
2018,53,533,536,659,855,1010
2018,54,595,612,703,881,1004
2018,55,873,898,1031,1344,1651
2018,56,520,561,691,922,1135
2018,57,873,898,1031,1344,1651
2018,58,420,521,659,867,1026
2018,59,873,898,1031,1344,1651
2018,60,578,581,737,924,1272
2018,61,508,511,659,909,991
2018,62,580,583,752,1050,1091
2018,63,443,525,659,959,1161
2018,64,560,576,662,888,1033
2018,65,550,553,664,911,1001
2018,66,873,898,1031,1344,1651
2018,67,544,548,683,963,966
2018,68,682,725,847,1108,1190
2018,69,492,495,659,897,900
2018,70,621,625,803,1007,1200
2018,71,621,685,823,1142,1450
2018,72,492,495,659,826,898
2018,73,873,898,1031,1344,1651
2018,74,873,898,1031,1344,1651
2018,75,587,705,828,1058,1314
2018,76,517,520,659,862,1047
2018,77,583,587,770,968,1267
2018,78,873,898,1031,1344,1651
2018,79,517,520,659,826,938
2018,80,492,495,659,848,1064
2018,81,517,520,659,847,1047
2018,82,535,538,659,894,898
2018,83,528,677,778,1040,1250
2018,84,537,540,695,943,947
2018,85,554,558,709,994,1249
2018,86,525,528,659,875,1101
2018,87,562,588,716,950,1014
2018,88,647,731,840,1179,1479
2018,89,529,574,659,959,1161
2018,90,531,577,666,969,1174
2018,91,554,558,709,994,1249
2018,92,592,596,793,1152,1397
2018,93,492,495,659,826,898
2018,94,613,666,783,1054,1353
2018,95,621,685,823,1142,1450
2018,96,617,636,771,1053,1358
2018,97,580,583,752,1050,1091
2018,98,539,543,722,1050,1141
2018,99,558,574,659,826,1047
2018,100,492,495,659,826,898
2018,101,533,651,748,1026,1269
2018,102,558,574,659,908,1047
2018,103,678,697,801,1165,1253
2018,104,510,513,659,887,1061
2018,105,621,685,823,1142,1450
2018,106,873,898,1031,1344,1651
2018,107,613,666,783,1054,1353
2018,108,613,666,783,1054,1353
2018,109,873,898,1031,1344,1651
2018,110,510,579,694,908,945
2018,111,873,898,1031,1344,1651
2018,112,558,574,659,959,1047
2018,113,873,898,1031,1344,1651
2018,114,541,545,725,979,1141
2018,115,485,574,659,936,1039
2018,116,642,660,758,950,1069
2018,117,517,520,659,959,1047
2018,118,553,556,740,987,1055
2018,119,533,536,713,894,1133
2018,120,617,636,771,1053,1358
2018,121,873,898,1031,1344,1651
2018,122,492,495,659,959,1047
2018,123,492,495,659,853,898
2018,124,492,495,659,879,1134
2018,125,873,898,1031,1344,1651
2018,126,492,495,659,959,1161
2018,127,492,495,659,912,1047
2018,128,570,574,708,888,1025
2018,129,565,569,723,960,1158
2018,130,609,613,776,973,1133
2018,131,558,574,659,959,1161
2018,132,558,574,659,907,1060
2018,133,492,495,659,826,1047
2018,134,562,588,716,950,1014
2018,135,583,606,753,1007,1051
2018,136,517,521,677,849,946
2018,137,489,574,659,910,1161
2018,138,580,583,711,980,1252
2018,139,499,502,659,916,1047
2018,140,590,594,749,1089,1103
2018,141,517,520,659,826,1161
2018,142,528,677,778,1040,1250
2018,143,499,502,668,838,1126
2018,144,464,586,673,938,1059
2018,145,542,656,806,1053,1302
2018,146,873,898,1031,1344,1651
2018,147,420,514,659,925,928
2018,148,492,495,659,959,1161
2018,149,558,574,659,938,942
2018,150,492,495,659,903,1047
2018,151,528,531,673,844,1069
2018,152,517,520,659,959,1047
2018,153,558,562,743,1008,1012
2018,154,563,597,696,959,998
2018,155,558,574,659,826,1047
2018,156,492,495,659,873,1047
2018,157,517,520,659,898,1148
2018,158,562,588,716,950,1014
