year,county,studio,1-bedroom,2-bedroom,3-bedroom,4-bedroom
2021,0,507,510,648,927,975
2021,1,488,492,648,897,975
2021,2,547,568,648,829,1122
2021,3,624,645,761,985,1136
2021,4,598,612,709,882,992
2021,5,586,596,684,851,944
2021,6,1016,1040,1185,1491,1823
2021,7,1016,1040,1185,1491,1823
2021,8,547,548,648,860,978
2021,9,494,497,648,927,972
2021,10,522,689,787,1002,1101
2021,11,507,510,648,856,968
2021,12,680,684,830,1160,1272
2021,13,588,591,770,1086,1333
2021,14,877,921,1050,1442,1671
2021,15,598,604,716,1025,1240
2021,16,636,708,815,1108,1411
2021,17,653,657,866,1161,1353
2021,18,488,492,648,806,879
2021,19,679,683,866,1180,1425
2021,20,507,510,648,880,955
2021,21,1016,1040,1185,1491,1823
2021,22,636,694,838,1092,1306
2021,23,547,568,648,859,941
2021,24,877,921,1050,1442,1671
2021,25,644,717,832,1118,1441
2021,26,488,492,648,906,1114
2021,27,1016,1040,1185,1491,1823
2021,28,663,699,815,1104,1281
2021,29,507,510,648,927,975
2021,30,1016,1040,1185,1491,1823
2021,31,507,510,648,927,975
2021,32,1016,1040,1185,1491,1823
2021,33,547,568,648,806,879
2021,34,515,519,648,806,913
2021,35,636,708,815,1108,1411
2021,36,523,526,648,842,1016
2021,37,1016,1040,1185,1491,1823
2021,38,522,689,787,1002,1101
2021,39,547,568,648,861,882
2021,40,636,694,838,1092,1306
2021,41,1016,1040,1185,1491,1823
2021,42,504,507,648,849,879
2021,43,1016,1040,1185,1491,1823
2021,44,488,492,648,815,965
2021,45,547,568,648,806,879
2021,46,624,645,761,985,1136
2021,47,1016,1040,1185,1491,1823
2021,48,485,568,648,817,915
2021,49,588,591,770,1086,1333
2021,50,877,921,1050,1442,1671
2021,51,488,492,648,856,1009
2021,52,488,492,648,902,1104
2021,53,488,492,648,810,1080
2021,54,585,598,682,976,1168
2021,55,1016,1040,1185,1491,1823
2021,56,623,627,792,1061,1255
2021,57,1016,1040,1185,1491,1823
2021,58,428,563,648,925,987
2021,59,1016,1040,1185,1491,1823
2021,60,561,565,744,925,1288
2021,61,547,568,648,927,981
2021,62,680,684,830,1160,1272
2021,63,533,547,657,939,1120
2021,64,506,509,671,907,910
2021,65,539,542,689,871,978
2021,66,1016,1040,1185,1491,1823
2021,67,452,529,685,925,929
2021,68,761,834,951,1254,1402
2021,69,507,510,648,904,1122
2021,70,653,657,789,1061,1322
2021,71,644,717,832,1118,1441
2021,72,526,530,698,868,1075
2021,73,1016,1040,1185,1491,1823
2021,74,1016,1040,1185,1491,1823
2021,75,720,786,896,1173,1490
2021,76,507,510,648,806,975
2021,77,575,579,763,1043,1154
2021,78,1016,1040,1185,1491,1823
2021,79,507,510,648,806,887
2021,80,488,492,648,833,1107
2021,81,507,510,648,870,975
2021,82,547,568,648,877,975
2021,83,522,689,787,1002,1101
2021,84,637,652,743,964,1145
2021,85,588,591,770,1086,1333
2021,86,526,529,648,888,1035
2021,87,624,645,761,985,1136
2021,88,803,831,947,1355,1640
2021,89,528,587,674,911,914
2021,90,582,586,706,1010,1118
2021,91,588,591,770,1086,1333
2021,92,636,640,844,1113,1405
2021,93,516,519,648,806,1122
2021,94,663,699,815,1104,1281
2021,95,644,717,832,1118,1441
2021,96,636,708,815,1108,1411
2021,97,680,684,830,1160,1272
2021,98,605,609,803,1086,1133
2021,99,599,613,699,869,1052
2021,100,547,568,648,806,879
2021,101,493,623,710,887,1229
2021,102,547,568,648,927,975
2021,103,706,726,872,1134,1510
2021,104,519,555,732,937,1022
2021,105,644,717,832,1118,1441
2021,106,1016,1040,1185,1491,1823
2021,107,663,699,815,1104,1281
2021,108,663,699,815,1104,1281
2021,109,1016,1040,1185,1491,1823
2021,110,484,556,733,995,1036
2021,111,1016,1040,1185,1491,1823
2021,112,543,546,648,814,1024
2021,113,1016,1040,1185,1491,1823
2021,114,542,546,719,928,975
2021,115,510,568,648,927,1070
2021,116,649,675,769,956,1074
2021,117,507,510,648,883,975
2021,118,520,524,690,858,1093
2021,119,488,492,648,806,975
2021,120,636,708,815,1108,1411
2021,121,1016,1040,1185,1491,1823
2021,122,488,492,648,927,975
2021,123,488,492,648,913,975
2021,124,482,561,713,888,1044
2021,125,1016,1040,1185,1491,1823
2021,126,488,492,648,927,1083
2021,127,488,492,648,806,975
2021,128,528,532,701,872,1166
2021,129,512,515,655,850,986
2021,130,507,510,648,806,1122
2021,131,547,568,648,927,1122
2021,132,428,515,648,842,1011
2021,133,428,510,648,806,899
2021,134,624,645,761,985,1136
2021,135,594,597,787,983,1236
2021,136,507,511,648,806,951
2021,137,488,492,648,872,1122
2021,138,583,587,715,925,1238
2021,139,507,510,648,927,943
2021,140,599,602,794,1071,1112
2021,141,507,510,648,806,1122
2021,142,522,689,787,1002,1101
2021,143,507,510,648,909,1091
2021,144,443,509,671,839,1054
2021,145,636,694,838,1092,1306
2021,146,1016,1040,1185,1491,1823
2021,147,492,495,653,864,1043
2021,148,488,492,648,847,1122
2021,149,547,568,648,877,912
2021,150,488,492,648,856,950
2021,151,507,510,648,806,975
2021,152,507,510,648,927,975
2021,153,581,584,716,944,971
2021,154,531,607,753,1032,1037
2021,155,507,510,648,865,975
2021,156,508,511,674,888,1014
2021,157,490,493,650,808,943
2021,158,624,645,761,985,1136
